,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
11,11,2.48365186664705,2.4789964129807296,2.5854275953589263,2.383054946262738,0.537583068456288,0.14826567732125795,1.2296870573717384,1.4688345502902043,-6.656041108204283,-9.853451690650067,0.5546700923503569,0.8211209742208389,0.00039640788790665054,0.1300730973345957,4.497216035255107
12,12,2.48365186664705,2.4789963980795684,2.5854276102600875,2.383054946262738,0.537583068456288,0.14826567732125795,1.2296870573717384,1.4688345502902043,-6.656041136101812,-9.853451690650067,0.5546700946751509,0.8211209742208389,0.00039640777725162535,0.1300730973345957,4.497215943017004
13,13,2.48365186664705,2.4789963980795684,2.5854275953589263,2.383054961163899,0.537583068456288,0.14826567732125795,1.2296870573717384,1.4688345502902043,-6.6560410253431455,-9.853451690650067,0.5546700854452621,0.8211209742208389,0.00039640782524681407,0.1300730973345957,4.497216212528436
14,14,2.48365186664705,2.4789963980795684,2.5854275953589263,2.383054946262738,0.5375830833574492,0.14826567732125795,1.2296870573717384,1.4688345502902043,-6.65604111679814,-9.853451690650067,0.5546700930665117,0.8211209742208389,0.00039640796442817316,0.1300730973345957,4.497216029472959
15,15,2.48365186664705,2.4789963980795684,2.5854275953589263,2.383054946262738,0.537583068456288,0.14826569222241914,1.2296870573717384,1.4688345502902043,-6.656040986936257,-9.853451690650067,0.5546700822446881,0.8211209742208389,0.00039640783977003047,0.1300730973345957,4.497216299267883
16,16,2.48365186664705,2.4789963980795684,2.5854275953589263,2.383054946262738,0.537583068456288,0.14826567732125795,1.2296870722728996,1.4688345502902043,-6.656041109711285,-9.853451690650067,0.5546700924759403,0.8211209742208389,0.00039640792511599275,0.1300730973345957,4.497216051943219
17,17,2.48365186664705,2.4789963980795684,2.5854275953589263,2.383054946262738,0.537583068456288,0.14826567732125795,1.2296870573717384,1.4688345651913655,-6.656041041547581,-9.853451690650067,0.5546700867956317,0.8211209742208389,0.00039640792355267974,0.1300730973345957,4.49721591938529
18,18,2.679222366924029,2.9007410013184294,2.694987920703739,1.851737236375858,0.6880346800087432,0.07157769883938134,1.3256624330702658,1.3201723128054863,-10.157993819800634,-10.157993819800634,0.8464994849833861,0.8464994849833861,0.24121975505257215,0.24121975505257215,3.540836973240175
19,19,2.6792223818251903,2.9007410013184294,2.694987920703739,1.851737236375858,0.6880346800087432,0.07157769883938134,1.3256624330702658,1.3201723128054863,-10.1579938576757,-10.1579938576757,0.8464994881396417,0.8464994881396417,0.24121975527103512,0.24121975527103512,3.540836884066053
20,20,2.679222366924029,2.9007410162195906,2.694987920703739,1.851737236375858,0.6880346800087432,0.07157769883938134,1.3256624330702658,1.3201723128054863,-10.157993864401861,-10.157993864401861,0.8464994887001551,0.8464994887001551,0.2412197597521163,0.2412197597521163,3.540836867068407
21,21,2.679222366924029,2.9007410013184294,2.6949879356049,1.851737236375858,0.6880346800087432,0.07157769883938134,1.3256624330702658,1.3201723128054863,-10.157993819395,-10.157993864401861,0.8464994849495833,0.8464994887001551,0.2412197520466577,0.2412197597521163,3.540836972883028
