,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance
11,11,2.063340913144149,2.4349910538660975,1.506305289804523,3.043915951156759,0.02809156627138009,0.2988691399001946,0.3034288803243508,3.1029117175417493,-6.493077911959859,-8.582172371106143,0.5410898259966549,0.7151810309255119,0.003682450710366566,0.03719451524495535,6.258134594348292
12,12,2.063340913144149,2.4349910538660975,1.506305289804523,2.12967761348008,0.02809156627138009,0.2988691399001946,0.3034288803243508,3.1029117175417493,-7.223087795070446,-8.582172371106143,0.6019239829225372,0.7151810309255119,0.00867845695441187,0.03719451524495535,3.9668899971244187
13,13,2.063340913144149,2.4349910538660975,1.506305289804523,2.12967761348008,2.2373420314398835,0.2988691399001946,0.3034288803243508,3.1029117175417493,-7.0738296777756595,-8.582172371106143,0.589485806481305,0.7151810309255119,0.001748137242747703,0.03719451524495535,4.68632161153532
14,14,2.063340913144149,2.4349910538660975,1.506305289804523,2.12967761348008,2.2373420314398835,0.9184156341693284,0.3034288803243508,3.1029117175417493,-7.135226804145056,-8.582172371106143,0.5946022336787546,0.7151810309255119,0.011618773820114524,0.03719451524495535,5.931162354138081
15,15,2.063340913144149,2.4349910538660975,1.506305289804523,2.12967761348008,2.2373420314398835,0.9184156341693284,1.1780785030993306,3.1029117175417493,-6.9909793516685825,-8.582172371106143,0.5825816126390485,0.7151810309255119,0.009383533412247652,0.03719451524495535,6.1596465330388455
16,16,2.063340913144149,2.4349910538660975,1.506305289804523,2.12967761348008,2.2373420314398835,0.9184156341693284,1.1780785030993306,3.076825212760319,-6.946164336184187,-8.582172371106143,0.5788470280153489,0.7151810309255119,0.01015963351359619,0.03719451524495535,6.306567702262825
17,17,2.1560489271889356,3.0363097365532887,0.04163024930524294,1.7135356392298713,0.7074016889767594,0.02416975318005598,0.028729493604212168,2.8282123391638425,-8.582172371106143,-8.582172371106143,0.7151810309255119,0.7151810309255119,0.014766191624353959,0.03719451524495535,2.986582840736048
18,18,2.1560489371889355,3.0363097365532887,0.04163024930524294,1.7135356392298713,0.7074016889767594,0.02416975318005598,0.028729493604212168,2.8282123391638425,-8.582172311667192,-8.582172371106143,0.715181025972266,0.7151810309255119,0.014766190870772699,0.03719451524495535,2.986582918069331
19,19,2.1560489271889356,3.0363097465532887,0.04163024930524294,1.7135356392298713,0.7074016889767594,0.02416975318005598,0.028729493604212168,2.8282123391638425,-8.582172314032212,-8.582172371106143,0.715181026169351,0.7151810309255119,0.014766191642893134,0.03719451524495535,2.9865830157220614
20,20,2.1560489271889356,3.0363097365532887,0.041630259305242945,1.7135356392298713,0.7074016889767594,0.02416975318005598,0.028729493604212168,2.8282123391638425,-8.582172308762914,-8.582172371106143,0.7151810257302428,0.7151810309255119,0.014766190811862215,0.03719451524495535,2.9865829149911747
21,21,2.1560489271889356,3.0363097365532887,0.04163024930524294,1.7135356492298712,0.7074016889767594,0.02416975318005598,0.028729493604212168,2.8282123391638425,-8.582172314496905,-8.582172371106143,0.7151810262080754,0.7151810309255119,0.014766191637999982,0.03719451524495535,2.9865830134023525
